feature,importance,cumulative_importance
durasi_jam,2018,0.5193000514668039
total_muatan_ton,441,0.6327843540916109
cumulative_hours_7d,248,0.6966031909418425
maintenance_activity,204,0.7490993309315491
idle_flag,199,0.8003088008234689
combined_risk_score,174,0.845084920226454
operating_flag,137,0.8803396809058157
cumulative_hours_30d,100,0.9060730828615543
umur_tahun,99,0.9315491507977355
usage_variance_7d,59,0.9467318579516212
equipment_health_score,38,0.9565105506948018
age_breakdown_risk,32,0.9647452393206382
age_usage_interaction,29,0.9722079258878024
avg_daily_hours_7d,28,0.9794132784354092
breakdown_rate_30d,28,0.9866186309830159
equipment_age_days,16,0.9907359752959342
breakdown_count_7d,11,0.9935666495110653
health_score_breakdown,10,0.9961399897066392
health_score_age,4,0.9971693257848687
jumlah_ritase,3,0.997941327843541
operating_rate_7d,2,0.9984559958826557
breakdown_count_30d,2,0.9989706639217705
days_since_last_record,1,0.9992279979413279
low_usage_flag,1,0.9994853319608852
mid_age_risk,1,0.9997426659804426
maintenance_count_30d,1,1.0
equipment_age_months,0,1.0
equipment_age_years,0,1.0
utilization_rate,0,1.0
daily_usage_hours,0,1.0
new_equipment,0,1.0
high_age_risk,0,1.0
overwork_flag,0,1.0
critical_overdue_flag,0,1.0
overdue_maintenance_flag,0,1.0
high_usage_flag,0,1.0
standby_flag,0,1.0
health_score_efficiency,0,1.0
health_score_maintenance,0,1.0
health_score_usage,0,1.0
condition_score,0,1.0
critical_risk_flag,0,1.0
degradation_risk_flag,0,1.0
type_risk_profile,0,1.0
